Status_checking_account;Duration_month;Credit_history;Purpose;Credit_amount;Savings_account;Employment_since;Installment_rate;Personal_status_sex;Other_debtors_guarantors;Residence_since;Property;Age_years;Other_installment_plans;Housing;Existing_credits;Job;Num_liable;Telephone;Foreign_worker;Credit_risk
0;6;4;A43;1169;4;4;4;A93;A101;4;A121;67;A143;A152;2;A173;1;A192;A201;Good
1;48;2;A43;5951;0;2;2;A92;A101;2;A121;22;A143;A152;1;A173;1;A191;A201;Bad
3;12;4;A46;2096;0;3;2;A93;A101;3;A121;49;A143;A152;1;A172;2;A191;A201;Good
0;42;2;A42;7882;0;3;2;A93;A103;4;A122;45;A143;A153;1;A173;2;A191;A201;Good
0;24;3;A40;4870;0;2;3;A93;A101;4;A124;53;A143;A153;2;A173;2;A191;A201;Bad
3;36;2;A46;9055;4;2;2;A93;A101;4;A124;35;A143;A153;1;A172;2;A192;A201;Good
3;24;2;A42;2835;2;4;3;A93;A101;4;A122;53;A143;A152;1;A173;1;A191;A201;Good
1;36;2;A41;6948;0;2;2;A93;A101;2;A123;35;A143;A151;1;A174;1;A192;A201;Good
3;12;2;A43;3059;3;3;2;A91;A101;4;A121;61;A143;A152;1;A172;1;A191;A201;Good
1;30;4;A40;5234;0;0;4;A94;A101;2;A123;28;A143;A152;2;A174;1;A191;A201;Bad
1;12;2;A40;1295;0;1;3;A92;A101;1;A123;25;A143;A151;1;A173;1;A191;A201;Bad
0;48;2;A49;4308;0;1;3;A92;A101;4;A122;24;A143;A151;1;A173;1;A191;A201;Bad
1;12;2;A43;1567;0;2;1;A92;A101;1;A123;22;A143;A152;1;A173;1;A192;A201;Good
0;24;4;A40;1199;0;4;4;A93;A101;4;A123;60;A143;A152;2;A172;1;A191;A201;Bad
0;15;2;A40;1403;0;2;2;A92;A101;4;A123;28;A143;A151;1;A173;1;A191;A201;Good
0;24;2;A43;1282;1;2;4;A92;A101;2;A123;32;A143;A152;1;A172;1;A191;A201;Bad
3;24;4;A43;2424;4;4;4;A93;A101;4;A122;53;A143;A152;2;A173;1;A191;A201;Good
0;30;0;A49;8072;4;1;2;A93;A101;3;A123;25;A141;A152;3;A173;1;A191;A201;Good
1;24;2;A41;12579;0;4;4;A92;A101;2;A124;44;A143;A153;1;A174;1;A192;A201;Bad
3;24;2;A43;3430;2;4;3;A93;A101;2;A123;31;A143;A152;1;A173;2;A192;A201;Good
3;9;4;A40;2134;0;2;4;A93;A101;4;A123;48;A143;A152;3;A173;1;A192;A201;Good
0;6;2;A43;2647;2;2;2;A93;A101;3;A121;44;A143;A151;1;A173;2;A191;A201;Good
0;10;4;A40;2241;0;1;1;A93;A101;3;A121;48;A143;A151;2;A172;2;A191;A202;Good
1;12;4;A41;1804;1;1;3;A93;A101;4;A122;44;A143;A152;1;A173;1;A191;A201;Good
3;10;4;A42;2069;4;2;2;A94;A101;1;A123;26;A143;A152;2;A173;1;A191;A202;Good
0;6;2;A42;1374;0;2;1;A93;A101;2;A121;36;A141;A152;1;A172;1;A192;A201;Good
3;6;0;A43;426;0;4;4;A94;A101;4;A123;39;A143;A152;1;A172;1;A191;A201;Good
2;12;1;A43;409;3;2;3;A92;A101;3;A121;42;A143;A151;2;A173;1;A191;A201;Good
1;7;2;A43;2415;0;2;3;A93;A103;2;A121;34;A143;A152;1;A173;1;A191;A201;Good
0;60;3;A49;6836;0;4;3;A93;A101;4;A124;63;A143;A152;2;A173;1;A192;A201;Bad
1;18;2;A49;1913;3;1;3;A94;A101;3;A121;36;A141;A152;1;A173;1;A192;A201;Good
0;24;2;A42;4020;0;2;2;A93;A101;2;A123;27;A142;A152;1;A173;1;A191;A201;Good
1;18;2;A40;5866;1;2;2;A93;A101;2;A123;30;A143;A152;2;A173;1;A192;A201;Good
3;12;4;A49;1264;4;4;4;A93;A101;4;A124;57;A143;A151;1;A172;1;A191;A201;Good
2;12;2;A42;1474;0;1;4;A92;A101;1;A122;33;A141;A152;1;A174;1;A192;A201;Good
1;45;4;A43;4746;0;1;4;A93;A101;2;A122;25;A143;A152;2;A172;1;A191;A201;Bad
3;48;4;A46;6110;0;2;1;A93;A101;3;A124;31;A141;A153;1;A173;1;A192;A201;Good
2;18;2;A43;2100;0;2;4;A93;A102;2;A121;37;A142;A152;1;A173;1;A191;A201;Bad
2;10;2;A44;1225;0;2;2;A93;A101;2;A123;37;A143;A152;1;A173;1;A192;A201;Good
1;9;2;A43;458;0;2;4;A93;A101;3;A121;24;A143;A152;1;A173;1;A191;A201;Good
3;30;2;A43;2333;2;4;4;A93;A101;2;A123;30;A141;A152;1;A174;1;A191;A201;Good
1;12;2;A43;1158;2;2;3;A91;A101;1;A123;26;A143;A152;1;A173;1;A192;A201;Good
1;18;3;A45;6204;0;2;2;A93;A101;4;A121;44;A143;A152;1;A172;2;A192;A201;Good
